Email No., 0
the, 21223
to, 19573
ect, 13320
and, 9995
for, 9610
of, 8597
a, 170722
you, 7568
hou, 5111
in, 33793
on, 33163
is, 16619
this, 4418
enron, 3902
i, 142170
be, 10327
that, 2995
will, 2527
have, 2596
with, 3049
your, 2503
at, 21571
we, 6381
s, 129614
are, 4587
it, 14138
by, 1860
com, 6180
as, 14852
from, 2598
gas, 1989
or, 23358
not, 2760
me, 16368
deal, 2364
if, 3653
meter, 1370
hpl, 2044
please, 1809
re, 28095
e, 259977
any, 2703
our, 4787
corp, 953
can, 1893
d, 75114
all, 3810
has, 1561
was, 1166
